segment_id,expected_pose,expected_distance_m,tracking_presence_rate,range_mae_m,dropout_rate,extra_track_rate,tid_switch_count,tracking_score,tracking_verdict,tracking_issue_reason
standing_1m,STANDING,1.0,1.0,0.02314756384259574,0.0,0.0,0,99.09758801981857,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
standing_2m,STANDING,2.0,1.0,0.07643111489024264,0.0,0.0,0,97.52827936276675,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
standing_3m,STANDING,3.0,1.0,0.08163204410681212,0.0,0.0,0,97.64519393750082,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
standing_4m,STANDING,4.0,1.0,0.1533473584138242,0.0,0.0,0,96.07631823575052,MINOR_RANGE_BIAS,"Tracking is continuous, but range MAE is a minor calibration/bias issue."
standing_5m,STANDING,5.0,1.0,0.0195058180130972,0.0,0.0,0,99.15048835965197,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
leanback_1m,SITTING,1.0,1.0,0.08436980714989298,0.0,0.0,0,97.3713667447336,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
leanback_2m,SITTING,2.0,1.0,0.1575702145729947,0.0,0.0,0,95.84808828257324,MINOR_RANGE_BIAS,"Tracking is continuous, but range MAE is a minor calibration/bias issue."
leanback_3m,SITTING,3.0,1.0,0.04789129559056366,0.0,0.0,0,97.42835096519352,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
leanback_4m,SITTING,4.0,1.0,0.07432850010652879,0.0,0.0,0,97.55142991641365,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
leanback_5m,SITTING,5.0,1.0,0.30561055334716225,0.0,0.0,0,92.3079268922636,FAILED,Range error or tracking score crosses the tracking failure threshold.
upright_1m,SITTING,1.0,1.0,0.05602169940888294,0.0,0.0,0,98.16874198721476,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
upright_2m,SITTING,2.0,1.0,0.0672603963392785,0.0,0.0,0,98.0041715861359,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
upright_3m,SITTING,3.0,1.0,0.10679851017714041,0.0,0.0,0,96.87260168393341,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
upright_4m,SITTING,4.0,1.0,0.1327713130632115,0.0,0.0,0,96.65579997209417,GOOD,"Presence is high with no meaningful dropout, ID-switch, or extra-track issue."
upright_5m,SITTING,5.0,0.9977973568281938,4.222803701883554,0.0022026431718061845,0.0,0,70.94979813302949,FAILED,Range error or tracking score crosses the tracking failure threshold.
leanforward_1m,SITTING,1.0,1.0,0.3853768251832544,0.0,0.0,0,90.18836756451545,FAILED,Range error or tracking score crosses the tracking failure threshold.
leanforward_2m,SITTING,2.0,1.0,0.4156802491839042,0.0,0.0,0,89.00394842802727,FAILED,Range error or tracking score crosses the tracking failure threshold.
leanforward_3m,SITTING,3.0,1.0,0.4635896963703055,0.0,0.0,0,87.62511197478702,FAILED,Range error or tracking score crosses the tracking failure threshold.
leanforward_4m,SITTING,4.0,0.9961612284069098,0.47936500858085856,0.0038387715930902067,0.0,0,87.84313006378949,FAILED,Range error or tracking score crosses the tracking failure threshold.
leanforward_5m,SITTING,5.0,1.0,0.39307629617217876,0.0,0.0,0,90.17309259569552,FAILED,Range error or tracking score crosses the tracking failure threshold.
