segment_id,expected_pose,expected_distance_m,mean_stand_prob,median_stand_prob,p10_stand_prob,p90_stand_prob,mean_sit_prob,median_sit_prob,p10_sit_prob,p90_sit_prob,mean_margin_stand_minus_sit,median_margin_stand_minus_sit,frames_stand_prob_gt_sit_prob,frames_sit_prob_gt_stand_prob
standing_1m,STANDING,1.0,0.47944284077144333,0.5086293816566467,0.20271278917789454,0.7261665105819702,0.4681971644310448,0.4371512234210968,0.2202921539545059,0.7474101305007934,0.011245676340398521,0.06868210434913635,536,431
standing_2m,STANDING,2.0,0.5813192324006938,0.6274259090423584,0.3714580476284027,0.7251464009284974,0.35727898549271503,0.3047413229942322,0.2176549464464187,0.5671071290969849,0.22404024690797883,0.3261218369007111,866,229
standing_3m,STANDING,3.0,0.5507314986584354,0.6353718638420105,0.23885667026042934,0.6843892931938171,0.3819938532010777,0.2961231768131256,0.2532796561717987,0.7105458021163937,0.16873764545735775,0.34066629409790045,879,264
standing_4m,STANDING,4.0,0.7735629848679718,0.7841855883598328,0.7815195262432099,0.7841855883598328,0.17112628650300357,0.1644412875175476,0.1644412875175476,0.1679786890745163,0.6024366983649682,0.6197443008422852,489,1
standing_5m,STANDING,5.0,0.8743536353585155,0.8764677047729492,0.8661128878593445,0.9083999991416932,0.08479366414314757,0.0866134986281395,0.0610488653182983,0.0976915508508682,0.7895599712153679,0.7898542061448097,1132,0
leanback_1m,SITTING,1.0,0.2561028234689958,0.27582187950611115,0.1640772446990013,0.3096357226371765,0.606551075310219,0.5696216821670532,0.5566711544990539,0.7126818120479583,-0.35044825184122314,-0.29363608360290533,0,508
leanback_2m,SITTING,2.0,0.45884470848886655,0.4932830333709717,0.4932830333709717,0.4932830333709717,0.45497546175736026,0.4195601940155029,0.4195601940155029,0.4195601940155029,0.0038692467315063392,0.0737228393554688,427,44
leanback_3m,SITTING,3.0,0.3740652276339678,0.3718559443950653,0.3456459283828735,0.3718559443950653,0.5296546704635657,0.5274404883384705,0.5274404883384705,0.5621643602848054,-0.15558944282959786,-0.15558454394340515,45,473
leanback_4m,SITTING,4.0,0.6874539955338436,0.6815018057823181,0.6815018057823181,0.6903829634189605,0.2519094475836896,0.2570066154003143,0.2538831532001495,0.2570066154003143,0.4355445479501539,0.42449519038200384,670,0
leanback_5m,SITTING,5.0,0.6293753093270243,0.624972403049469,0.624972403049469,0.6366176009178162,0.302259299676518,0.3069446980953216,0.2942982017993927,0.3069446980953216,0.3271160096505064,0.3180277049541474,622,0
upright_1m,SITTING,1.0,0.3625294224494475,0.4525982439517975,0.0436260066926479,0.5862127542495728,0.5752046577066009,0.4750764369964599,0.3424025774002075,0.9273598194122316,-0.21267523525715334,-0.023768663406372126,584,613
upright_2m,SITTING,2.0,0.4043807970140412,0.4620173573493957,0.2669388055801391,0.4933669567108154,0.5095872820492588,0.4491810500621795,0.4263039529323578,0.6477090120315552,-0.10520648503521764,0.012836307287216187,603,568
upright_3m,SITTING,3.0,0.5127905314743493,0.5778353810310364,0.3126008063554763,0.6238370537757874,0.41394168457997194,0.3447027802467346,0.3079810440540313,0.6114267706871033,0.0988488468943774,0.23313260078430176,890,276
upright_4m,SITTING,4.0,0.5778468134685567,0.5885445475578308,0.5885445475578308,0.5885445475578308,0.3506283526044143,0.3415756523609161,0.3415756523609161,0.3415756523609161,0.22721846086414238,0.24696889519691473,459,16
upright_5m,SITTING,5.0,0.3112190995809584,0.384884238243103,0.02504782192409035,0.4981142580509186,0.570985916566112,0.5122591257095337,0.3854380398988724,0.8386396169662476,-0.2597668169851535,-0.128839984536171,141,758
leanforward_1m,SITTING,1.0,0.353716455763481,0.3816918879747391,0.2698584377765655,0.4286794066429138,0.5505087623364815,0.5232395827770233,0.4794996380805969,0.642262214422226,-0.1967923065730005,-0.1412695497274399,0,474
leanforward_2m,SITTING,2.0,0.43414773596729683,0.5000103116035461,0.2045018821954727,0.5000103116035461,0.482405633712121,0.418610543012619,0.418610543012619,0.7157810926437378,-0.048257897744824134,0.08139976859092712,445,256
leanforward_3m,SITTING,3.0,0.5457149662423901,0.5729219317436218,0.47568036019802096,0.5876362323760986,0.3802917381482465,0.3541695773601532,0.3384601473808288,0.4504076719284057,0.16542322809414362,0.21929672360420227,761,79
leanforward_4m,SITTING,4.0,0.45012592212054764,0.4694965481758117,0.4694965481758117,0.4694965481758117,0.44956500819652756,0.4480039477348327,0.4480039477348327,0.4480039477348327,0.0005609139240201498,0.021492600440979004,485,27
leanforward_5m,SITTING,5.0,0.6616438014791646,0.6793028712272644,0.6793028712272644,0.6793028712272644,0.27072017113549995,0.2576984465122223,0.2576984465122223,0.2576984465122223,0.3909236303436647,0.4216044247150421,417,19
