session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260704_150636,upright_1m,left_person,SITTING,SITTING_UPRIGHT,1.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,upright_1m,right_person,SITTING,SITTING_UPRIGHT,1.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,upright_2m,left_person,SITTING,SITTING_UPRIGHT,2.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,upright_2m,right_person,SITTING,SITTING_UPRIGHT,2.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,upright_3m,left_person,SITTING,SITTING_UPRIGHT,3.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,upright_3m,right_person,SITTING,SITTING_UPRIGHT,3.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,upright_4m,left_person,SITTING,SITTING_UPRIGHT,4.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,upright_4m,right_person,SITTING,SITTING_UPRIGHT,4.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,upright_5m,left_person,SITTING,SITTING_UPRIGHT,5.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,upright_5m,right_person,SITTING,SITTING_UPRIGHT,5.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,leanforward_1m,left_person,SITTING,SITTING_LEAN_FORWARD,1.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,leanforward_1m,right_person,SITTING,SITTING_LEAN_FORWARD,1.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,leanforward_2m,left_person,SITTING,SITTING_LEAN_FORWARD,2.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,leanforward_2m,right_person,SITTING,SITTING_LEAN_FORWARD,2.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,leanforward_3m,left_person,SITTING,SITTING_LEAN_FORWARD,3.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,leanforward_3m,right_person,SITTING,SITTING_LEAN_FORWARD,3.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,leanforward_4m,left_person,SITTING,SITTING_LEAN_FORWARD,4.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,leanforward_4m,right_person,SITTING,SITTING_LEAN_FORWARD,4.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_150636,leanforward_5m,left_person,SITTING,SITTING_LEAN_FORWARD,5.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_150636,leanforward_5m,right_person,SITTING,SITTING_LEAN_FORWARD,5.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
