session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260704_145249,standing_1m,left_person,STANDING,STANDING,1.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,standing_1m,right_person,STANDING,STANDING,1.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,standing_2m,left_person,STANDING,STANDING,2.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,standing_2m,right_person,STANDING,STANDING,2.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,standing_3m,left_person,STANDING,STANDING,3.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,standing_3m,right_person,STANDING,STANDING,3.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,standing_4m,left_person,STANDING,STANDING,4.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,standing_4m,right_person,STANDING,STANDING,4.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,standing_5m,left_person,STANDING,STANDING,5.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,standing_5m,right_person,STANDING,STANDING,5.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,leanback_1m,left_person,SITTING,SITTING_LEAN_BACK,1.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,leanback_1m,right_person,SITTING,SITTING_LEAN_BACK,1.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,leanback_2m,left_person,SITTING,SITTING_LEAN_BACK,2.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,leanback_2m,right_person,SITTING,SITTING_LEAN_BACK,2.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,leanback_3m,left_person,SITTING,SITTING_LEAN_BACK,3.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,leanback_3m,right_person,SITTING,SITTING_LEAN_BACK,3.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,leanback_4m,left_person,SITTING,SITTING_LEAN_BACK,4.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,leanback_4m,right_person,SITTING,SITTING_LEAN_BACK,4.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
session_20260704_145249,leanback_5m,left_person,SITTING,SITTING_LEAN_BACK,5.0,LEFT,,,HIGH,,,simultaneous two-person left slot
session_20260704_145249,leanback_5m,right_person,SITTING,SITTING_LEAN_BACK,5.0,RIGHT,,,HIGH,,,simultaneous two-person right slot
