session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260706_173741,standing_center_1m,center,STANDING,STANDING,1.0,CENTER,,,HIGH,,,standing center side
session_20260706_173741,standing_center_2m,center,STANDING,STANDING,2.0,CENTER,,,HIGH,,,standing center side
session_20260706_173741,standing_center_3m,center,STANDING,STANDING,3.0,CENTER,,,HIGH,,,standing center side
session_20260706_173741,standing_center_4m,center,STANDING,STANDING,4.0,CENTER,,,HIGH,,,standing center side
session_20260706_173741,standing_center_5m,center,STANDING,STANDING,5.0,CENTER,,,HIGH,,,standing center side
session_20260706_173741,standing_right_1m,right,STANDING,STANDING,1.0,RIGHT,,,HIGH,,,standing right side
session_20260706_173741,standing_right_2m,right,STANDING,STANDING,2.0,RIGHT,,,HIGH,,,standing right side
session_20260706_173741,standing_right_3m,right,STANDING,STANDING,3.0,RIGHT,,,HIGH,,,standing right side
session_20260706_173741,standing_right_4m,right,STANDING,STANDING,4.0,RIGHT,,,HIGH,,,standing right side
session_20260706_173741,standing_right_5m,right,STANDING,STANDING,5.0,RIGHT,,,HIGH,,,standing right side
session_20260706_173741,standing_left_1m,left,STANDING,STANDING,1.0,LEFT,,,HIGH,,,standing left side
session_20260706_173741,standing_left_2m,left,STANDING,STANDING,2.0,LEFT,,,HIGH,,,standing left side
session_20260706_173741,standing_left_3m,left,STANDING,STANDING,3.0,LEFT,,,HIGH,,,standing left side
session_20260706_173741,standing_left_4m,left,STANDING,STANDING,4.0,LEFT,,,HIGH,,,standing left side
session_20260706_173741,standing_left_5m,left,STANDING,STANDING,5.0,LEFT,,,HIGH,,,standing left side
