session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260706_175519,leanback_center_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,8.000,72.316,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169}
session_20260706_175519,leanback_center_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,78.316,142.631,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169}
session_20260706_175519,leanback_center_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,148.631,212.947,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169}
session_20260706_175519,leanback_center_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,218.947,283.263,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169}
session_20260706_175519,leanback_center_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,289.263,353.578,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 868}
session_20260706_175519,leanback_right_1m,right,SITTING,SITTING_LEAN_BACK,1.0,RIGHT,359.578,423.894,MEDIUM,2,HIGH,"sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.984; tid_counts={1: 12, 2: 718}"
session_20260706_175519,leanback_right_2m,right,SITTING,SITTING_LEAN_BACK,2.0,RIGHT,429.894,494.210,MEDIUM,2,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1171}
session_20260706_175519,leanback_right_3m,right,SITTING,SITTING_LEAN_BACK,3.0,RIGHT,500.210,564.525,MEDIUM,2,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1169}
session_20260706_175519,leanback_right_4m,right,SITTING,SITTING_LEAN_BACK,4.0,RIGHT,570.525,634.841,MEDIUM,3,HIGH,"sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.964; tid_counts={2: 26, 3: 706}"
session_20260706_175519,leanback_right_5m,right,SITTING,SITTING_LEAN_BACK,5.0,RIGHT,640.841,705.157,MEDIUM,3,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={3: 1170}
session_20260706_175519,leanback_left_1m,left,SITTING,SITTING_LEAN_BACK,1.0,LEFT,711.157,775.472,MEDIUM,4,HIGH,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.831; tid_counts={3: 130, 4: 638}"
session_20260706_175519,leanback_left_2m,left,SITTING,SITTING_LEAN_BACK,2.0,LEFT,781.472,845.788,MEDIUM,4,HIGH,sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1169}
session_20260706_175519,leanback_left_3m,left,SITTING,SITTING_LEAN_BACK,3.0,LEFT,851.788,916.104,MEDIUM,4,HIGH,sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1169}
session_20260706_175519,leanback_left_4m,left,SITTING,SITTING_LEAN_BACK,4.0,LEFT,922.104,986.419,MEDIUM,6,HIGH,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.786; tid_counts={4: 182, 5: 8, 6: 698}"
session_20260706_175519,leanback_left_5m,left,SITTING,SITTING_LEAN_BACK,5.0,LEFT,992.419,1056.735,MEDIUM,7,MEDIUM,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.745; tid_counts={6: 148, 7: 433}"
