session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes
session_20260706_173741,standing_center_1m,center,STANDING,STANDING,1.0,CENTER,8.000,69.183,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113}
session_20260706_173741,standing_center_2m,center,STANDING,STANDING,2.0,CENTER,75.183,136.367,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112}
session_20260706_173741,standing_center_3m,center,STANDING,STANDING,3.0,CENTER,142.367,203.550,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113}
session_20260706_173741,standing_center_4m,center,STANDING,STANDING,4.0,CENTER,209.550,270.733,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112}
session_20260706_173741,standing_center_5m,center,STANDING,STANDING,5.0,CENTER,276.733,337.917,MEDIUM,1,MEDIUM,"standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.513; tid_counts={0: 492, 1: 519}"
session_20260706_173741,standing_right_1m,right,STANDING,STANDING,1.0,RIGHT,343.917,405.100,MEDIUM,2,MEDIUM,"standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.725; tid_counts={1: 410, 2: 1080}"
session_20260706_173741,standing_right_2m,right,STANDING,STANDING,2.0,RIGHT,411.100,472.283,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1146}
session_20260706_173741,standing_right_3m,right,STANDING,STANDING,3.0,RIGHT,478.283,539.467,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113}
session_20260706_173741,standing_right_4m,right,STANDING,STANDING,4.0,RIGHT,545.467,606.650,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112}
session_20260706_173741,standing_right_5m,right,STANDING,STANDING,5.0,RIGHT,612.650,673.833,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112}
session_20260706_173741,standing_left_1m,left,STANDING,STANDING,1.0,LEFT,679.833,741.017,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1114}
session_20260706_173741,standing_left_2m,left,STANDING,STANDING,2.0,LEFT,747.017,808.200,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112}
session_20260706_173741,standing_left_3m,left,STANDING,STANDING,3.0,LEFT,814.200,875.383,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113}
session_20260706_173741,standing_left_4m,left,STANDING,STANDING,4.0,LEFT,881.383,942.567,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113}
session_20260706_173741,standing_left_5m,left,STANDING,STANDING,5.0,LEFT,948.567,1009.750,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113}
